source_id,source_text,target_id,target_label,target_type,s_sem,s_gr,s_con,s_final,forced_top1,task,config
H.52PPD00.026.1,Melakukan Penginian dan Pengembangan Teknologi Informasi,http://data.europa.eu/esco/skill/da930e2f-6047-4616-a598-bba8ecef3039,manage open publications,ESCO,0.100987,0.0,1.0,0.210592,False,T4,v1.0
H.52PPD00.026.1,Melakukan Penginian dan Pengembangan Teknologi Informasi,http://data.europa.eu/esco/skill/86ff9a65-66eb-4c8f-93d8-22e0a467fc08,power electronics,ESCO,0.18712,0.0,0.5,0.187272,False,T4,v1.0
H.52PPD00.026.1,Melakukan Penginian dan Pengembangan Teknologi Informasi,http://data.europa.eu/esco/skill/311832d1-1167-47c7-b613-fc64784ffeed,describe electric drive system,ESCO,0.172806,0.0,0.0,0.103684,False,T4,v1.0
H.52PPD00.026.1,Melakukan Penginian dan Pengembangan Teknologi Informasi,http://data.europa.eu/esco/skill/d12e9d68-84c5-444e-aa98-d36533bf03f6,apply operations for an ITIL-based environment,ESCO,0.166065,0.0,0.0,0.099639,False,T4,v1.0
H.52PPD00.026.1,Melakukan Penginian dan Pengembangan Teknologi Informasi,http://data.europa.eu/esco/skill/fb82ae25-b59f-43fd-aacf-a8308afbe85e,health informatics,ESCO,0.145686,0.0,0.0,0.087412,False,T4,v1.0
H.52PPD00.026.1,Melakukan Penginian dan Pengembangan Teknologi Informasi,http://data.europa.eu/esco/skill/553ad092-b799-44c9-a94c-65a84fdc7526,identify processes for re-engineering,ESCO,0.143343,0.0,0.0,0.086006,False,T4,v1.0
H.52PPD00.026.1,Melakukan Penginian dan Pengembangan Teknologi Informasi,http://data.europa.eu/esco/skill/d503a629-9ac7-475f-8fd9-4cdcc14711cd,use ICT equipment in maintenance activities,ESCO,0.134984,0.0,0.0,0.08099,False,T4,v1.0
H.52PPD00.035.1,Menggunakan Peralatan Teknologi Informasi,http://data.europa.eu/esco/skill/da930e2f-6047-4616-a598-bba8ecef3039,manage open publications,ESCO,0.102383,0.0,1.0,0.21143,False,T4,v1.0
H.52PPD00.035.1,Menggunakan Peralatan Teknologi Informasi,http://data.europa.eu/esco/skill/86ff9a65-66eb-4c8f-93d8-22e0a467fc08,power electronics,ESCO,0.189707,0.0,0.5,0.188824,False,T4,v1.0
H.52PPD00.035.1,Menggunakan Peralatan Teknologi Informasi,http://data.europa.eu/esco/skill/311832d1-1167-47c7-b613-fc64784ffeed,describe electric drive system,ESCO,0.175195,0.0,0.0,0.105117,False,T4,v1.0
H.52PPD00.035.1,Menggunakan Peralatan Teknologi Informasi,http://data.europa.eu/esco/skill/d12e9d68-84c5-444e-aa98-d36533bf03f6,apply operations for an ITIL-based environment,ESCO,0.168361,0.0,0.0,0.101017,False,T4,v1.0
H.52PPD00.035.1,Menggunakan Peralatan Teknologi Informasi,http://data.europa.eu/esco/skill/fb82ae25-b59f-43fd-aacf-a8308afbe85e,health informatics,ESCO,0.1477,0.0,0.0,0.08862,False,T4,v1.0
H.52PPD00.035.1,Menggunakan Peralatan Teknologi Informasi,http://data.europa.eu/esco/skill/553ad092-b799-44c9-a94c-65a84fdc7526,identify processes for re-engineering,ESCO,0.145324,0.0,0.0,0.087194,False,T4,v1.0
H.52PPD00.035.1,Menggunakan Peralatan Teknologi Informasi,http://data.europa.eu/esco/skill/d503a629-9ac7-475f-8fd9-4cdcc14711cd,use ICT equipment in maintenance activities,ESCO,0.13685,0.0,0.0,0.08211,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,computer programming,ESCO,0.109107,0.578947,1.0,0.360201,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/0ab03c6c-281b-48f4-83e0-10eeb27a1bae,network management system tools,ESCO,0.169557,0.0,1.0,0.251734,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/24c200e5-be20-4370-a137-ab53797f3a17,software frameworks,ESCO,0.124284,0.052632,1.0,0.237728,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/d56fc2b5-4b0a-4e7e-9bde-a33736f6ff18,Scratch (computer programming),ESCO,0.105477,0.052632,1.0,0.226444,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,Ruby (computer programming),ESCO,0.105477,0.052632,1.0,0.226444,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (computer programming),ESCO,0.105477,0.052632,1.0,0.226444,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/2bde42ae-e776-41c1-9ded-b07b30bfe985,Prolog (computer programming),ESCO,0.105477,0.052632,1.0,0.226444,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/42ed3bfb-1a01-4c8b-9758-fc6438865734,Smalltalk (computer programming),ESCO,0.105477,0.052632,1.0,0.226444,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/be80acfc-b6f2-4411-9b8d-b19d9cd2556a,Swift (computer programming),ESCO,0.105477,0.052632,1.0,0.226444,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/e8b89eb6-51e8-4c3a-babb-88b2e110376b,Pascal (computer programming),ESCO,0.105477,0.052632,1.0,0.226444,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/a4d336a6-9ffd-402a-91cc-f359716ba4e0,ML (computer programming),ESCO,0.105477,0.052632,1.0,0.226444,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/47b9bbcf-356c-4782-83a4-7f5a1b2b51a3,Assembly (computer programming),ESCO,0.100512,0.052632,1.0,0.223465,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/8764d4b1-e069-44f2-8baa-fb1eee1850ec,Oracle Application Development Framework,ESCO,0.098813,0.052632,1.0,0.222446,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,Java (computer programming),ESCO,0.098257,0.052632,1.0,0.222112,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/b105ec9b-0857-41d6-8d07-a83e58b73d90,ICT system programming,ESCO,0.118446,0.0,1.0,0.221068,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68,TypeScript,ESCO,0.09469,0.052632,1.0,0.219972,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/84f58e3d-8669-4d83-8c1d-5dd1e73a654f,create database diagrams,ESCO,0.111095,0.0,1.0,0.216657,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/dad7e408-162f-46a4-8567-db560e19e2fc,identify ICT system weaknesses,ESCO,0.098815,0.0,1.0,0.209289,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/978db6a1-7297-4c89-819a-47605f2c3ba8,manage software releases,ESCO,0.09861,0.0,1.0,0.209166,False,T4,v1.0
ICADBS404A,Mengidentifikasi dan Menyelesaikan Masalah Kinerja Basis Data Umum,http://data.europa.eu/esco/skill/53780150-1581-4ae6-b435-34068c172caf,Vyper,ESCO,0.09469,0.0,1.0,0.206814,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,computer programming,ESCO,0.125504,0.578947,1.0,0.370039,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/0ab03c6c-281b-48f4-83e0-10eeb27a1bae,network management system tools,ESCO,0.190945,0.0,1.0,0.264567,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/24c200e5-be20-4370-a137-ab53797f3a17,software frameworks,ESCO,0.155362,0.052632,1.0,0.256375,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/be80acfc-b6f2-4411-9b8d-b19d9cd2556a,Swift (computer programming),ESCO,0.123617,0.052632,1.0,0.237328,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/a4d336a6-9ffd-402a-91cc-f359716ba4e0,ML (computer programming),ESCO,0.123617,0.052632,1.0,0.237328,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/42ed3bfb-1a01-4c8b-9758-fc6438865734,Smalltalk (computer programming),ESCO,0.123617,0.052632,1.0,0.237328,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/2bde42ae-e776-41c1-9ded-b07b30bfe985,Prolog (computer programming),ESCO,0.123617,0.052632,1.0,0.237328,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/d56fc2b5-4b0a-4e7e-9bde-a33736f6ff18,Scratch (computer programming),ESCO,0.123617,0.052632,1.0,0.237328,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/e8b89eb6-51e8-4c3a-babb-88b2e110376b,Pascal (computer programming),ESCO,0.123617,0.052632,1.0,0.237328,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,Ruby (computer programming),ESCO,0.123617,0.052632,1.0,0.237328,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (computer programming),ESCO,0.123617,0.052632,1.0,0.237328,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/47b9bbcf-356c-4782-83a4-7f5a1b2b51a3,Assembly (computer programming),ESCO,0.117797,0.052632,1.0,0.233836,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/8764d4b1-e069-44f2-8baa-fb1eee1850ec,Oracle Application Development Framework,ESCO,0.115964,0.052632,1.0,0.232736,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/b105ec9b-0857-41d6-8d07-a83e58b73d90,ICT system programming,ESCO,0.137576,0.0,1.0,0.232546,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,Java (computer programming),ESCO,0.115155,0.052632,1.0,0.232251,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/401eb8d8-6daa-4f8b-90ad-60afc71eb4f8,Perl,ESCO,0.1133,0.052632,1.0,0.231138,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/978db6a1-7297-4c89-819a-47605f2c3ba8,manage software releases,ESCO,0.132511,0.0,1.0,0.229507,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/2b7a79e5-84d8-4880-be66-3d9bb05bea17,use software design patterns,ESCO,0.114824,0.0,1.0,0.218894,False,T4,v1.0
ICAICT203A,Mengoperasikan Paket Perangkat Lunak Aplikasi,http://data.europa.eu/esco/skill/85f46538-ae70-498a-bfbc-b8ddafe96c7d,levels of software testing,ESCO,0.114452,0.0,1.0,0.218671,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,computer programming,ESCO,0.12014,0.578947,1.0,0.366821,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/0ab03c6c-281b-48f4-83e0-10eeb27a1bae,network management system tools,ESCO,0.182784,0.0,1.0,0.25967,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/24c200e5-be20-4370-a137-ab53797f3a17,software frameworks,ESCO,0.148722,0.052632,1.0,0.252391,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/be80acfc-b6f2-4411-9b8d-b19d9cd2556a,Swift (computer programming),ESCO,0.118333,0.052632,1.0,0.234158,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/d56fc2b5-4b0a-4e7e-9bde-a33736f6ff18,Scratch (computer programming),ESCO,0.118333,0.052632,1.0,0.234158,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (computer programming),ESCO,0.118333,0.052632,1.0,0.234158,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/2bde42ae-e776-41c1-9ded-b07b30bfe985,Prolog (computer programming),ESCO,0.118333,0.052632,1.0,0.234158,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/42ed3bfb-1a01-4c8b-9758-fc6438865734,Smalltalk (computer programming),ESCO,0.118333,0.052632,1.0,0.234158,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/a4d336a6-9ffd-402a-91cc-f359716ba4e0,ML (computer programming),ESCO,0.118333,0.052632,1.0,0.234158,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/e8b89eb6-51e8-4c3a-babb-88b2e110376b,Pascal (computer programming),ESCO,0.118333,0.052632,1.0,0.234158,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,Ruby (computer programming),ESCO,0.118333,0.052632,1.0,0.234158,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/47b9bbcf-356c-4782-83a4-7f5a1b2b51a3,Assembly (computer programming),ESCO,0.112763,0.052632,1.0,0.230816,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/8764d4b1-e069-44f2-8baa-fb1eee1850ec,Oracle Application Development Framework,ESCO,0.111007,0.052632,1.0,0.229762,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,Java (computer programming),ESCO,0.110233,0.052632,1.0,0.229298,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/b105ec9b-0857-41d6-8d07-a83e58b73d90,ICT system programming,ESCO,0.131696,0.0,1.0,0.229018,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/eb0e5615-1575-4a86-a1a2-7d39595033c5,ABAP,ESCO,0.108458,0.052632,1.0,0.228233,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/978db6a1-7297-4c89-819a-47605f2c3ba8,manage software releases,ESCO,0.126847,0.0,1.0,0.226108,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/2b7a79e5-84d8-4880-be66-3d9bb05bea17,use software design patterns,ESCO,0.109916,0.0,1.0,0.21595,False,T4,v1.0
ICAICT206A,Menginstal Aplikasi Perangkat Lunak,http://data.europa.eu/esco/skill/85f46538-ae70-498a-bfbc-b8ddafe96c7d,levels of software testing,ESCO,0.109561,0.0,1.0,0.215737,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,computer programming,ESCO,0.115062,0.684211,1.0,0.39009,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/0ab03c6c-281b-48f4-83e0-10eeb27a1bae,network management system tools,ESCO,0.178812,0.0,1.0,0.257287,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/24c200e5-be20-4370-a137-ab53797f3a17,software frameworks,ESCO,0.131068,0.052632,1.0,0.241799,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (computer programming),ESCO,0.111234,0.052632,1.0,0.229898,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/e8b89eb6-51e8-4c3a-babb-88b2e110376b,Pascal (computer programming),ESCO,0.111234,0.052632,1.0,0.229898,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/2bde42ae-e776-41c1-9ded-b07b30bfe985,Prolog (computer programming),ESCO,0.111234,0.052632,1.0,0.229898,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,Ruby (computer programming),ESCO,0.111234,0.052632,1.0,0.229898,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/42ed3bfb-1a01-4c8b-9758-fc6438865734,Smalltalk (computer programming),ESCO,0.111234,0.052632,1.0,0.229898,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/a4d336a6-9ffd-402a-91cc-f359716ba4e0,ML (computer programming),ESCO,0.111234,0.052632,1.0,0.229898,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/be80acfc-b6f2-4411-9b8d-b19d9cd2556a,Swift (computer programming),ESCO,0.111234,0.052632,1.0,0.229898,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/d56fc2b5-4b0a-4e7e-9bde-a33736f6ff18,Scratch (computer programming),ESCO,0.111234,0.052632,1.0,0.229898,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/47b9bbcf-356c-4782-83a4-7f5a1b2b51a3,Assembly (computer programming),ESCO,0.105998,0.052632,1.0,0.226757,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/8764d4b1-e069-44f2-8baa-fb1eee1850ec,Oracle Application Development Framework,ESCO,0.104207,0.052632,1.0,0.225682,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,Java (computer programming),ESCO,0.10362,0.052632,1.0,0.22533,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/b105ec9b-0857-41d6-8d07-a83e58b73d90,ICT system programming,ESCO,0.124911,0.0,1.0,0.224947,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/def007fa-5fed-4a5f-91a2-b0d7e3db1be1,COBOL,ESCO,0.099859,0.052632,1.0,0.223073,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/dcdd5ddf-82a6-4ac3-8edc-d4b23cae9a88,VBScript,ESCO,0.099859,0.052632,1.0,0.223073,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/c3a03c5a-c260-4c26-9b9a-873abb396f4d,MATLAB,ESCO,0.099859,0.052632,1.0,0.223073,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/84f58e3d-8669-4d83-8c1d-5dd1e73a654f,create database diagrams,ESCO,0.117159,0.0,1.0,0.220295,False,T4,v1.0
ICAICT210A,Mengoperasikan Aplikasi Basis Data,http://data.europa.eu/esco/skill/978db6a1-7297-4c89-819a-47605f2c3ba8,manage software releases,ESCO,0.103992,0.0,1.0,0.212395,False,T4,v1.0
ICAICT307A,Menyesuaikan Aplikasi Perangkat Lunak Terpaket untuk Klien,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,computer programming,ESCO,0.119326,0.578947,1.0,0.366332,False,T4,v1.0
ICAICT307A,Menyesuaikan Aplikasi Perangkat Lunak Terpaket untuk Klien,http://data.europa.eu/esco/skill/0ab03c6c-281b-48f4-83e0-10eeb27a1bae,network management system tools,ESCO,0.181545,0.0,1.0,0.258927,False,T4,v1.0
ICAICT307A,Menyesuaikan Aplikasi Perangkat Lunak Terpaket untuk Klien,http://data.europa.eu/esco/skill/24c200e5-be20-4370-a137-ab53797f3a17,software frameworks,ESCO,0.147714,0.052632,1.0,0.251786,False,T4,v1.0
ICAICT307A,Menyesuaikan Aplikasi Perangkat Lunak Terpaket untuk Klien,http://data.europa.eu/esco/skill/e8b89eb6-51e8-4c3a-babb-88b2e110376b,Pascal (computer programming),ESCO,0.117531,0.052632,1.0,0.233677,False,T4,v1.0
ICAICT307A,Menyesuaikan Aplikasi Perangkat Lunak Terpaket untuk Klien,http://data.europa.eu/esco/skill/be80acfc-b6f2-4411-9b8d-b19d9cd2556a,Swift (computer programming),ESCO,0.117531,0.052632,1.0,0.233677,False,T4,v1.0
