prodi,node_id,s_con,domain_status,sim_score,in_whitelist,config
SI,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,1.0,core,0.079961,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,1.0,core,0.092147,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,1.0,core,0.087399,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,1.0,core,0.058214,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,1.0,core,0.073939,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,1.0,core,0.066099,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,1.0,core,0.088659,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,0.5,adjacent,0.04255,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,1.0,core,0.085055,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0550431f-9c8b-4204-9c45-59bc5feacf06,1.0,core,0.13231,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/05bd9f18-370a-4a88-98c7-473cffb7b2ca,1.0,core,0.085387,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c,0.5,adjacent,0.044492,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/071233c4-ad2b-4f50-b79f-768d2231163e,0.5,adjacent,0.041587,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0764b28d-04ee-4e80-bf58-b737f02a63e0,0.5,adjacent,0.026186,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/07884056-a07a-40b7-bba3-1ceed61f529c,0.5,adjacent,0.016696,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,1.0,core,0.100386,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f,0.5,adjacent,0.031219,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/085bfce5-70fe-43da-9499-307725e89bbc,0.5,adjacent,0.043463,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,1.0,core,0.099481,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/08f0af26-2178-40d2-9267-6d50a7346555,1.0,core,0.124754,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/09cf2c34-6f93-4a19-a9f1-c0d866414bcc,1.0,core,0.071767,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,1.0,core,0.080133,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/09f4c52b-ac72-4f0e-a8ae-78bb1d7bffba,1.0,core,0.094892,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0a30e5a8-60a8-4fda-9f89-8e9cee38da5a,1.0,core,0.087008,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,1.0,core,0.136974,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0ab03c6c-281b-48f4-83e0-10eeb27a1bae,1.0,core,0.11233,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,1.0,core,0.100248,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0cd6dcf1-5778-42a5-b685-4d01ae4a4871,1.0,core,0.077268,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0d168770-4d9c-4096-b048-a6577818d306,0.5,adjacent,0.030517,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0da6cab1-0ee9-4391-a299-f71fbf21db56,0.5,adjacent,0.032561,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0de61385-de6d-4146-ba32-1cc1bc102220,1.0,core,0.080413,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0e8d16c9-e2db-4862-ac06-1567f01ef806,0.5,adjacent,0.044578,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0e9e3a56-3b26-4fa5-91df-6d9bfbea4259,0.5,adjacent,0.025284,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0ee94c0a-3716-494a-95a2-dcbab9e58be2,1.0,core,0.086723,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0f00f63f-3ab4-4057-b92f-500584b51757,0.5,adjacent,0.048203,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0f365cf9-4f68-4a25-affc-75de20bcdc09,1.0,core,0.094204,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0f5374e3-0b9b-4b16-af7a-49654ce0bb15,1.0,core,0.072613,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0f9958d2-f700-4f62-b90b-a5873cb5ae4c,0.5,adjacent,0.029873,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0fb753a1-2ef2-4429-84d2-ecb2b24daf7a,0.5,adjacent,0.031597,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/0ffdb6ac-03b5-4f1c-bfcc-3d9cb874fdf9,0.5,adjacent,0.038976,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/10026df1-670d-4c75-b3d5-ee0037f9d59b,1.0,core,0.083551,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/1019423b-3368-4f83-b24f-19e5fa23e816,1.0,core,0.149247,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/11430d93-c835-48ed-8e70-285fa69c9ae6,1.0,core,0.12299,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/117373c8-f04b-4fff-8683-aebe36edac81,0.5,adjacent,0.041632,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/118a9b27-1c5a-4214-b685-1a4d9e6365ea,1.0,core,0.053212,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/11eebd42-44ab-401d-8a2c-bdb9fc9beb50,0.5,adjacent,0.033639,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/12c82224-6394-4c3c-9831-2a8198ed1274,0.5,adjacent,0.018125,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/13bdd41a-2a18-441f-96db-41252c519413,1.0,core,0.081248,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/14062e1c-6540-4cb6-b343-ad419e3d10ac,1.0,core,0.06265,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,1.0,core,0.086868,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/14764a75-3104-4875-ba1d-57c059b9b013,0.5,adjacent,0.045543,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0,0.5,adjacent,0.024261,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/14fdac88-6d4a-4e47-9df5-02c6d1e86fdd,0.5,adjacent,0.039951,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/1605025e-a179-421f-8f35-5b07d182a6b2,1.0,core,0.068008,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/172020d1-e151-445b-8173-e2a5fb16fe51,1.0,core,0.119029,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/17702c40-e963-4593-847e-a332b1c9357e,0.5,adjacent,0.047941,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/1774bd31-8893-44cf-9498-7e3d95508419,0.5,adjacent,0.019115,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,1.0,core,0.093505,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/1b3fc0e0-c6f9-45fc-9c6e-14bbba662979,1.0,core,0.115418,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/1b7c716e-af95-4cda-a42f-6479c8b139f5,1.0,core,0.063187,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/1bba98a7-92b9-450b-9235-e0c905f8f3c4,1.0,core,0.05351,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/1c2978b8-bb0d-4249-9c23-877571a4dffa,1.0,core,0.074945,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/1c582939-d981-4325-a2ac-f87fc6cf2315,0.5,adjacent,0.025013,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/1ce4cddd-4a74-458e-a2d4-152ca939475a,0.5,adjacent,0.047241,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/1de3942b-99d8-41e8-9ef0-fbc9e9f6307b,0.5,adjacent,0.031556,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/1ffac4ac-fda7-407d-8ed1-ca8f4a8dc146,1.0,core,0.088659,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/20b1d521-3d18-4b59-aee5-aaf296170c1b,1.0,core,0.062308,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/20c920d4-7ff7-4676-ba61-3f04490d9416,1.0,core,0.104309,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/2180bd8c-86de-4889-8165-adac902eee9d,1.0,core,0.111951,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/219dd03d-4168-416a-be40-f4becca55130,0.5,adjacent,0.043463,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,1.0,core,0.152928,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/22225017-a02e-4171-8775-64c3adc87512,1.0,core,0.06901,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/237db40b-4600-47c0-837f-4a2c4f3014ab,1.0,core,0.133666,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/23900e3d-06fa-424c-a5dc-c0ea42edde1e,1.0,core,0.061904,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/2450c3b3-e78e-435b-b84d-e05d984e71dc,1.0,core,0.055661,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/24c200e5-be20-4370-a137-ab53797f3a17,1.0,core,0.06516,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/251b5528-693c-4ef9-a7f6-9924bb8d7ef8,0.5,adjacent,0.035282,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/2579f843-87e8-4a9f-83ce-1284b2218b56,1.0,core,0.084134,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/25c4cb91-d64b-48d1-a350-3527334a360d,0.5,adjacent,0.048599,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/25ee43a8-f9b0-4990-96cf-eabe627ff0cc,1.0,core,0.082637,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,1.0,core,0.100343,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/27065048-bca8-4b0a-891a-b192b9ceadfd,1.0,core,0.050282,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/27b913f0-3c52-448b-ad27-fc6ef08fb326,0.5,adjacent,0.024159,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/2857540c-180b-4208-9127-e94a01871966,1.0,core,0.094736,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/286d0e0d-48e9-4210-b110-b1fbf04c35f1,0.5,adjacent,0.019605,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/2879e8f6-037a-49ed-ba73-6f7d7766223e,0.5,adjacent,0.033529,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/2891f0dc-4426-4a9a-8fbb-db4fb0a66f91,1.0,core,0.072723,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/28eb4689-3ba4-47a1-96b0-34a60751ea17,1.0,core,0.093604,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/29154735-107a-4daa-a050-537f7707f34e,1.0,core,0.081838,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/296f6b56-de45-4aac-aa96-43e4a4864724,1.0,core,0.072623,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/29d3663f-348a-4b67-a8db-b94fd3912385,1.0,core,0.08245,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/29fb0fb5-dfc4-4098-ac9b-3a712000f48f,1.0,core,0.159809,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/2b7a79e5-84d8-4880-be66-3d9bb05bea17,1.0,core,0.114987,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/2bbdea06-a265-42b5-bb4f-7241b661f069,0.5,adjacent,0.027508,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/2bde42ae-e776-41c1-9ded-b07b30bfe985,1.0,core,0.092291,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/2c28fc20-8a60-4311-8899-5ef8729c05b3,1.0,core,0.080985,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/2d7bf28a-2487-4443-9115-47478080b1a4,0.5,adjacent,0.031241,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/2ddb1226-1117-4eb4-ae65-3a2f5a5a3c80,1.0,core,0.056973,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/2f04bb71-d476-43b3-a60b-5df1d05f5681,0.5,adjacent,0.031337,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/300d432b-f457-4cd3-9cb1-1858c7d14954,1.0,core,0.105258,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/31418b90-4ae2-4fa1-b57b-42e190c1a214,1.0,core,0.087325,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/32428b21-514b-42c2-81b5-244a7804ea74,0.5,adjacent,0.026724,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/32a2c63d-2d13-4784-abb8-678ef2cd8a46,0.5,adjacent,0.038872,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/32db65d3-5ef3-43eb-9bf8-752c9cf0b22e,1.0,core,0.094584,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/33d49d4f-31ec-473f-9b8a-b555aa5116bb,1.0,core,0.092147,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/33efa504-2f26-424d-b662-cee77e6e9c93,1.0,core,0.074399,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/3497ebe1-d417-4105-a68f-f7bbcac7ee5f,0.5,adjacent,0.016134,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/382c11ed-20d5-4ae7-b60e-15fec527fa6c,1.0,core,0.110233,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/38da3c60-4b7c-4698-9256-574e4ee4e93b,0.5,adjacent,0.02124,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/397da142-ab35-48fe-b154-7c38f447adfb,1.0,core,0.083328,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43,1.0,core,0.104978,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/3a33cec3-4b44-471a-8864-5cc8567a8b1f,1.0,core,0.06843,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/3a5275f4-67e5-4371-a31e-68291aa86691,0.5,adjacent,0.019676,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/3af687cb-8c7a-46ea-a730-32dbaed040c6,1.0,core,0.055191,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/3bddfd7c-ab6d-40c2-883d-5e97fb7640ba,1.0,core,0.092554,False,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/3be79ccc-a455-49b9-8c65-55c50071ba5b,0.5,adjacent,0.03043,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/3c42d13b-d6e4-4ed9-bdc4-991251461dc4,0.5,adjacent,0.032566,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,1.0,core,0.081271,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/3ce1fe19-7f9e-4070-941d-651673a5693b,1.0,core,0.111185,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/3cee858e-79e8-4a4b-b99f-93c7f735d58b,0.5,adjacent,0.021251,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/3d03c40c-1b83-4793-8902-2523f40af59e,0.5,adjacent,0.021527,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/3e23db60-0c3d-498a-a6ac-ffbed0ecb033,0.5,adjacent,0.023688,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/3e75d405-c3d1-4a66-9963-05a9397d68fb,0.5,adjacent,0.025222,True,v2.1-aptikom2022
SI,http://data.europa.eu/esco/skill/3ec2e4d6-7000-4905-bf1a-c5b1679416de,1.0,core,0.073571,True,v2.1-aptikom2022
