soc_code,title,major_group_code,onet_text_enriched,onet_text_nlp
11-1011.00,Chief Executives,11,Chief Executives management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,chief executives management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-1011.03,Chief Sustainability Officers,11,Chief Sustainability Officers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,chief sustainability officers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-1021.00,General and Operations Managers,11,General and Operations Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,general and operations managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-2011.00,Advertising and Promotions Managers,11,Advertising and Promotions Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,advertising and promotions managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-2021.00,Marketing Managers,11,Marketing Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,marketing managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-2022.00,Sales Managers,11,Sales Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,sales managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-3012.00,Administrative Services Managers,11,Administrative Services Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,administrative services managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-3013.00,Facilities Managers,11,Facilities Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,facilities managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-3021.00,Computer and Information Systems Managers,11,Computer and Information Systems Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,computer and information systems managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
11-3031.00,Financial Managers,11,Financial Managers management executive leadership organization strategy Reading Comprehension Active Listening Writing Speaking Mathematics Science Critical Thinking Active Learning Learning Strategies Monitoring Social Perceptiveness Coordination Persuasion Negotiation Instructing Service Orientation Complex Problem Solving Operations Analysis Technology Design Equipment Selection Installation Programming Operations Monitoring Operation and Control Equipment Maintenance Troubleshooting Repairing Quality Control Analysis Judgment and Decision Making Systems Analysis Systems Evaluation Time Management Management of Financial Resources Management of Material Resources Management of Personnel Resources,financial managers management executive leadership organization strategy reading comprehension active listening writing speaking mathematics science critical thinking active learning learning strategies monitoring social perceptiveness coordination persuasion negotiation instructing service orientation complex problem solving operations analysis technology design equipment selection installation programming operations monitoring operation and control equipment maintenance troubleshooting repairing quality control analysis judgment and decision making systems analysis systems evaluation time management management of financial resources management of material resources management of personnel resources
