kode_unit,judul_unit,deskripsi_unit_clean,deskripsi_unit_clean_nlp,deskripsi_unit_enriched,deskripsi_unit_enriched_nlp,level_kkni,doc_sector,doc_title
J.62DPM00.002.1,Mengembangkan Rencana Pengelolaan Proyek,Mengembangkan Rencana Pengelolaan Proyek. Information dan Communication Technologies (ICT) Project Management,mengembangkan rencana pengelolaan proyek. information dan communication technologies (ict) project management,develop rencana project management. information dan communication technologies (ict) project management,develop rencana project management. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.003.1,Mengendalikan Pekerjaan Proyek,Mengendalikan Pekerjaan Proyek. Information dan Communication Technologies (ICT) Project Management,mengendalikan pekerjaan proyek. information dan communication technologies (ict) project management,control pekerjaan proyek. information dan communication technologies (ict) project management,control pekerjaan proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.004.1,Memantau Pekerjaan Proyek,Memantau Pekerjaan Proyek. Information dan Communication Technologies (ICT) Project Management,memantau pekerjaan proyek. information dan communication technologies (ict) project management,monitor pekerjaan proyek. information dan communication technologies (ict) project management,monitor pekerjaan proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.005.1,Mengatur Penutupan Proyek,Mengatur Penutupan Proyek. Information dan Communication Technologies (ICT) Project Management,mengatur penutupan proyek. information dan communication technologies (ict) project management,mengatur penutupan proyek. information dan communication technologies (ict) project management,mengatur penutupan proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.006.2,Merencanakan Ruang Lingkup Proyek,Merencanakan Ruang Lingkup Proyek. Information dan Communication Technologies (ICT) Project Management,merencanakan ruang lingkup proyek. information dan communication technologies (ict) project management,plan ruang lingkup proyek. information dan communication technologies (ict) project management,plan ruang lingkup proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.007.1,Melakukan Validasi Ruang Lingkup Proyek,Melakukan Validasi Ruang Lingkup Proyek. Information dan Communication Technologies (ICT) Project Management,melakukan validasi ruang lingkup proyek. information dan communication technologies (ict) project management,melakukan validasi ruang lingkup proyek. information dan communication technologies (ict) project management,melakukan validasi ruang lingkup proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.008.2,Merencanakan Jadwal Proyek,Merencanakan Jadwal Proyek. Information dan Communication Technologies (ICT) Project Management,merencanakan jadwal proyek. information dan communication technologies (ict) project management,plan jadwal proyek. information dan communication technologies (ict) project management,plan jadwal proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.009.1,Melakukan Pemantauan Pelaksanaan Jadwal Proyek,Melakukan Pemantauan Pelaksanaan Jadwal Proyek. Information dan Communication Technologies (ICT) Project Management,melakukan pemantauan pelaksanaan jadwal proyek. information dan communication technologies (ict) project management,melakukan pemantauan pelaksanaan jadwal proyek. information dan communication technologies (ict) project management,melakukan pemantauan pelaksanaan jadwal proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.010.2,Mengelola Biaya Proyek,Mengelola Biaya Proyek. Information dan Communication Technologies (ICT) Project Management,mengelola biaya proyek. information dan communication technologies (ict) project management,manage biaya proyek. information dan communication technologies (ict) project management,manage biaya proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.011.1,Mengendalikan Biaya Proyek,Mengendalikan Biaya Proyek. Information dan Communication Technologies (ICT) Project Management,mengendalikan biaya proyek. information dan communication technologies (ict) project management,control biaya proyek. information dan communication technologies (ict) project management,control biaya proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
J.62DPM00.012.2,Membangun Sumber Daya Proyek,Membangun Sumber Daya Proyek. Information dan Communication Technologies (ICT) Project Management,membangun sumber daya proyek. information dan communication technologies (ict) project management,build sumber daya proyek. information dan communication technologies (ict) project management,build sumber daya proyek. information dan communication technologies (ict) project management,,Information dan Communication Technologies (ICT) Project Management,SKKNI Information dan Communication Technologies Project Management
